program,algorithm,input_file,all_sequences,min_support,frequenct_sequences,time,real_time
miner,PrefixSpan,fifa.spmf,20450,0.3,47,831,1059
spmf,PrefixSpan,fifa.spmf,20450,0.3,47,953,1352
miner,SPADE,fifa.spmf,20450,0.3,47,65730,66060
spmf,SPADE,fifa.spmf,20450,0.3,47,57070,57367
miner,PrefixSpan,fifa.spmf,20450,0.25,277,3041,3251
spmf,PrefixSpan,fifa.spmf,20450,0.25,277,2990,3204
miner,SPADE,fifa.spmf,20450,0.25,277,65714,66824
spmf,SPADE,fifa.spmf,20450,0.25,277,67635,68761
miner,PrefixSpan,fifa.spmf,20450,0.2,938,7234,7447
spmf,PrefixSpan,fifa.spmf,20450,0.2,938,7071,7269
miner,SPADE,fifa.spmf,20450,0.2,938,88870,91127
spmf,SPADE,fifa.spmf,20450,0.2,938,86546,88807
miner,PrefixSpan,fifa.spmf,20450,0.15,5123,23623,23828
spmf,PrefixSpan,fifa.spmf,20450,0.15,5123,23906,24110
miner,SPADE,fifa.spmf,20450,0.15,5123,155898,161661
spmf,SPADE,fifa.spmf,20450,0.15,5123,152753,158031
